问题,回答
你们的咖啡豆产地可以追溯吗？,"是的，我们所有咖啡豆都有完整的产地信息和可追溯性。包括具体农场、海拔高度、处理方法、烘焙日期等。我们与产地农场直接合作，确保咖啡豆的品质和可持续性，也支持当地咖啡农的生计。"
咖啡对健康有什么影响？,"适量饮用咖啡（每天2-3杯）对大多数人是安全的，还可能有一些健康益处，如提高注意力、抗氧化等。但孕妇、心脏病患者、对咖啡因敏感的人群应该限制摄入。具体健康问题建议咨询医生，我们只能提供一般性的咖啡知识。"
你们有会员制度吗？,"我们有咖啡爱好者会员制度，会员可享受咖啡豆9折优惠、免费品鉴活动、新品优先体验等特权。累计消费达到一定金额还可升级为VIP会员，享受更多专属服务。详情可以咨询店员或关注我们的会员政策。"
可以定制拼配咖啡吗？,"当然可以！我们提供个性化拼配服务，根据您的口味偏好调配专属咖啡。我们的咖啡师会根据您喜欢的酸度、苦度、香气等特点，选择合适的咖啡豆进行拼配。最少起订量是500g，需要3-5个工作日完成。"
你们的包装是环保的吗？,"我们使用可回收的牛皮纸袋和可降解的单向排气阀包装咖啡豆，减少对环境的影响。店内也提供咖啡豆散装服务，客人可以自带容器购买。我们致力于可持续发展，从包装到采购都考虑环保因素。"
咖啡豆的烘焙程度怎么选择？,"烘焙程度影响咖啡的风味表现。浅烘焙保留更多原始风味和酸度，适合喜欢果酸的客人；中烘焙平衡酸甜苦，适合大多数人；深烘焙突出焦糖和烘焙香气，苦味较重。我们建议先尝试中烘焙，再根据个人喜好调整。"
你们可以调整甜度吗？,"当然可以！我们提供甜度调整服务：无糖、三分糖、五分糖、七分糖、正常糖。摩卡和焦糖玛奇朵等本身较甜的饮品建议选择三分糖或五分糖，美式和拿铁可以根据个人喜好调整。"
有植物奶可以选择吗？,"我们提供多种植物奶选择：燕麦奶、豆奶、杏仁奶、椰奶。燕麦奶口感最接近牛奶，豆奶蛋白质含量高，杏仁奶口感清淡，椰奶带有天然椰香。植物奶制作的拿铁同样香浓美味，适合乳糖不耐受的客人。"
你们有季节限定饮品吗？,"我们会根据季节推出限定饮品。春季有樱花拿铁，夏季有柠檬气泡美式、椰子冰拿铁，秋季有南瓜香料拿铁、焦糖苹果摩卡，冬季有肉桂热巧克力、姜饼拿铁。请关注我们的最新活动信息。"
可以外卖配送吗？,"我们支持外卖配送服务，配送范围3公里内，配送费5-8元。通过美团、饿了么或我们的小程序都可以下单。为保证咖啡品质，我们使用专业保温袋配送，热饮保温，冰饮保冷，确保您收到的咖啡口感最佳。"
